MSFT	147.86	148	146.720	147.3	312677	20160401	NYSE
MSFT	148.999	149.15	147.84	148.06	312677	20160402	NYSE
MSFT	147.36	148.03	147.01	148	237462	20160403	NYSE
MSFT	145.885	146.09	144.49	144.98	523862	20160404	NYSE
MSFT	145.885	146.09	144.49	144.98	523862	20160405	NYSE
MSFT	148.52	148.65	147.87	147.92	298348	20160406	NYSE
MSFT	148.48	148.64	148.28	148.51	199192	20160407	NYSE
MSFT	147.86	148	146.720	147.3	312677	20160408	NYSE
MSFT	148.999	149.15	147.84	148.06	312677	20160409	NYSE
MSFT	147.36	148.03	147.01	148	237462	20160410	NYSE
MSFT	145.885	146.09	144.49	144.98	523862	20160411	NYSE
MSFT	145.885	146.09	144.49	144.98	523862	20160412	NYSE
MSFT	148.52	148.65	147.87	147.92	298348	20160413	NYSE
MSFT	148.48	148.64	148.28	148.51	199192	20160414	NYSE
MSFT	149.37	149.7	149.17	149.47	600971	20160331	NYSE
MSFT	148.39	148.45	147.98	147.99	738480	20160330	NYSE
MSFT	148.08	148.25	147.5	147.59	278609	20160329	NYSE
MSFT	148.17	148.28	147.89	148.1	351511	20160328	NYSE
MSFT	147.85	148.26	147.56	148.18	279245	20160327	NYSE
MSFT	145.885	146.09	144.49	144.98	523862	20160326	NYSE
MSFT	148.79	149.09	148.75	148.91	265460	20160325	NYSE
MSFT	149.47	149.76	148.78	148.78	346388	20160324	NYSE
MSFT	149.37	149.7	149.17	149.47	600971	20160323	NYSE
MSFT	150.02	150.36	149.52	149.95	439433	20160322	NYSE
IBM	53.5305	53.83	53.46	53.61	2734484	20160407	NYSE
IBM	53.805	53.85	53.53	53.54	2887385	20160406	NYSE
IBM	53.765	53.96	53.66	53.8	2033581	20160405	NYSE
IBM	54.07	54.12	53.75	53.76	1446592	20160404	NYSE
IBM	54.13	54.17	53.995	54.07	1673377	20160403	NYSE
IBM	54.13	54.25	54.05	54.13	2220886	20160402	NYSE
IBM	54.07	54.195	54.015	54.1225	7002771	20160401	NYSE
IBM	53.5305	53.83	53.46	53.61	2734484	20160408	NYSE
IBM	53.805	53.85	53.53	53.54	2887385	20160409	NYSE
IBM	53.765	53.96	53.66	53.8	2033581	20160410	NYSE
IBM	54.07	54.12	53.75	53.76	1446592	20160411	NYSE
IBM	54.13	54.17	53.995	54.07	1673377	20160412	NYSE
IBM	54.13	54.25	54.05	54.13	2220886	20160413	NYSE
IBM	54.07	54.195	54.015	54.1225	7002771	20160414	NYSE
IBM	54.09	54.22	53.83	54.11	2483595	20160331	NYSE
IBM	53.9	54.24	53.83	54.09	3142526	20160330	NYSE
IBM	53.805	54.05	53.74	53.9	2334379	20160329	NYSE
IBM	53.525	53.64	52.93	53.25	3568721	20160328	NYSE
IBM	53.5305	53.83	53.46	53.61	2734484	20160327	NYSE
IBM	54.07	54.195	54.015	54.1225	7002771	20160326	NYSE
IBM	53.5205	54.83	53.46	53.51	2734494	20160325	NYSE
IBM	55.055	55.59	55.03	55.5299	2928570	20160324	NYSE
IBM	55.125	55.13	54.94	55.06	1473382	20160323	NYSE
IBM	55.19	55.3	55.11	55.12	1676411	20160322	NYSE
IBM	55.245	55.25	55.09	55.18	1727930	20160321	NYSE
IBM	55.05	55.32	55.01	55.24	5625226	20160320	NYSE
IBM	55.13	55.18	54.86	54.95	4176425	20160319	NYSE
MSFT	147.86	148	146.720	147.3	312677	20160401	NASDAQ
MSFT	148.999	149.15	147.84	148.06	312677	20160402	NASDAQ
MSFT	147.36	148.03	147.01	148	237462	20160403	NASDAQ
MSFT	145.885	146.09	144.49	144.98	523862	20160404	NASDAQ
MSFT	145.885	146.09	144.49	144.98	523862	20160405	NASDAQ
MSFT	148.52	148.65	147.87	147.92	298348	20160406	NASDAQ
MSFT	148.48	148.64	148.28	148.51	199192	20160407	NASDAQ
MSFT	147.86	148	146.720	147.3	312677	20160408	NASDAQ
MSFT	148.999	149.15	147.84	148.06	312677	20160409	NASDAQ
MSFT	147.36	148.03	147.01	148	237462	20160410	NASDAQ
MSFT	145.885	146.09	144.49	144.98	523862	20160411	NASDAQ
MSFT	145.885	146.09	144.49	144.98	523862	20160412	NASDAQ
MSFT	148.52	148.65	147.87	147.92	298348	20160413	NASDAQ
MSFT	148.48	148.64	148.28	148.51	199192	20160414	NASDAQ
MSFT	149.37	149.7	149.17	149.47	600971	20160331	NASDAQ
MSFT	148.39	148.45	147.98	147.99	738480	20160330	NASDAQ
MSFT	148.08	148.25	147.5	147.59	278609	20160329	NASDAQ
MSFT	148.17	148.28	147.89	148.1	351511	20160328	NASDAQ
MSFT	147.85	148.26	147.56	148.18	279245	20160327	NASDAQ
MSFT	145.885	146.09	144.49	144.98	523862	20160326	NASDAQ
MSFT	148.79	149.09	148.75	148.91	265460	20160325	NASDAQ
MSFT	149.47	149.76	148.78	148.78	346388	20160324	NASDAQ
MSFT	149.37	149.7	149.17	149.47	600971	20160323	NASDAQ
MSFT	150.02	150.36	149.52	149.95	439433	20160322	NASDAQ
